32700: ANS 361D History of Food and Healing in China and Taiwan: Lai, Chiu-Mi
32690: ANS 361 Gender and Modern India: Chatterjee, Indrani
32685: ANS 361 Asian Regionalism and Multilateral Cooperation: Liu, Xuecheng
32680: ANS 361 Political Economy of Asia: Maclachlan, Patricia
32679: ANS 361 The History of Chinese Language and Translation: Lai, Chiu-Mi
32678: ANS 361 Biomedicine, Ethics, and Culture: Traphagan, John
32675: ANS 361 Capitalism, Consumption, and Civil Society in Korea: Oppenheim, Robert
32674: ANS 361 Topics in Asian Studies: Akepiyapornchai, Manasicha
32670: ANS 361 Topics in Asian Studies: Oh, Youjeong
32665: ANS 361 Topics in Asian Studies: Gutierrez, Andrea
32660: ANS 361 Topics in Asian Studies: Oxenford, Shelby
32659: ANS 361 Formation of Indian Art, 1000 BCE to 1000 CE: Leoshko, Janice
32655: ANS 361 Topics in Asian Studies: Hurley, Brian
32650: ANS 347K Governments and Politics of South Asia: Liu, Xuecheng
32645: ANS 343D Muslim Travelers and Traders: Koyagi, Mikiya
32640: ANS 341M Imperial Japan: Dahl, Jessa
32635: ANS 341K Origins of Modern Japan: Ravina, Mark
32630: ANS 340U Devotional Literature of India: Rajpurohit, Dalpat
32628: ANS 340R European Empires in Asia: Guha, Sumit
32629: ANS 340F Goddesses in World Religions and Cultures: Wilson, Jeff
32615: ANS 320C Genji to Godzilla: Adaptations of the Japanese Classics: Cather, Kirsten
32610: ANS 304C Popular Culture in Modern Japan: Hurley, Brian
32605: ANS 302E Female Voices in China: Waring, Luke
32600: ANS 301R History of the Religions of Asia: Gan, Quan
32595: ANS 301M Introductory Topics in Asian Studies: Gutierrez, Andrea
32590: ANS 301M Introductory Topics in Asian Studies: Amer, Sundas
32585: ANS 301M Introductory Topics in Asian Studies: Fiden, Michael
32584: ANS 301M Introductory Topics in Asian Studies: Oxenford, Shelby
32254: ANT 453 Archaeological Analysis: Rodriguez, Enrique
32334: ANT 393 Topics in Linguistic Anthropology: Keating, Elizabeth
32323: ANT 392J Introduction to Biological Anthropology: Behavior, Genetics, and Variation: Sandel, Aaron
32314: ANT 391 Topics in Theoretical Approaches to the Study of Religion: Matsumoto, Mallory
32310: ANT 391 Topics in Social Anthropology: Davidson de Sa, Celina
32308: ANT 391 Topics in Social Anthropology: Merabet, Sofian
32255: ANT 366 Anatomy and Biology of the Human Skeleton: Kappelman, John
32250: ANT 351E Primate Evolution: Shapiro, Liza
32245: ANT 348K Primate Conservation: Sandel, Aaron
32240: ANT 348 Human Origins and Evolution: Kappelman, John
32235: ANT 348 Human Origins and Evolution: Kappelman, John
32230: ANT 346L Primate Social Behavior: Lewis, Rebecca
32225: ANT 328G Coloniality in West Africa: Davidson de Sa, Celina
32220: ANT 328E Decolonial Intersectionality: Salazar, Joseph
32219: ANT 328D Popular Culture and Indigenous Futurities: Salazar, Joseph
32215: ANT 326O Empires: Aztec and Spanish: Rodriguez, Enrique
32210: ANT 326N Cultural Resource Management: Jarvis, Jonathan
32200: ANT 326E Plains Archaeology: Prehistory and History: Wade, Maria
